Unique ID,Title,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000315950000003,On the Mutational Topology of the Bacterial Genome,"Foster, PL|Hanson, AJ|Lee, H|Popodi, EM|Tang, HX","Foster, PL|Hanson, AJ|Lee, H|Popodi, EM|Tang, HX","Foster, Patricia L.|Hanson, Andrew J.|Lee, Heewook|Popodi, Ellen M.|Tang, Haixu","Foster, Patricia L.|Hanson, Andrew J.|Lee, Heewook|Popodi, Ellen M.|Tang, Haixu"
WOS:000322521300010,CRISPR-Cas systems target a diverse collection of invasive mobile genetic elements in human microbiomes,"Zhang, Q|Rho, MN|Tang, HX|Doak, TG|Ye, YZ","Zhang, Q|Rho, MN|Tang, HX|Doak, TG|Ye, YZ","Zhang, Quan|Rho, Mina|Tang, Haixu|Doak, Thomas G.|Ye, Yuzhen","Zhang, Quan|Rho, Mina|Tang, Haixu|Doak, Thomas G.|Ye, Yuzhen"
WOS:000363871300018,Data Intensive Computing for Bioinformatics,"Qiu, J|Ekanayake, J|Gunarathne, T|Choi, JY|Bae, SH|Ruan, Y|Ekanayake, S|Wu, S|Beason, S|Fox, G|Rho, M|Tang, HX","Qiu, J|Ekanayake, J|Gunarathne, T|Choi, JY|Bae, SH|Ruan, Y|Ekanayake, S|Wu, S|Beason, S|Fox, G|Rho, M|Tang, HX","Qiu, Judy|Ekanayake, Jaliya|Gunarathne, Thilina|Choi, Jong Youl|Bae, Seung-Hee|Ruan, Yang|Ekanayake, Saliya|Wu, Stephen|Beason, Scott|Fox, Geoffrey|Rho, Mina|Tang, Haixu","Qiu, Judy|Ekanayake, Jaliya|Gunarathne, Thilina|Choi, Jong Youl|Bae, Seung-Hee|Ruan, Yang|Ekanayake, Saliya|Wu, Stephen|Beason, Scott|Fox, Geoffrey|Rho, Mina|Tang, Haixu"
WOS:000310280300007,Rate and molecular spectrum of spontaneous mutations in the bacterium Escherichia coli as determined by whole-genome sequencing,"Lee, H|Popodi, E|Tang, HX|Foster, PL","Lee, H|Popodi, E|Tang, HX|Foster, PL","Lee, Heewook|Popodi, Ellen|Tang, Haixu|Foster, Patricia L.","Lee, Heewook|Popodi, Ellen|Tang, Haixu|Foster, Patricia L."
WOS:000307884700006,"Spatial and functional relationships among Pol V-associated loci, Pol IV-dependent siRNAs, and cytosine methylation in the Arabidopsis epigenome","Wierzbicki, AT|Cocklin, R|Mayampurath, A|Lister, R|Rowley, MJ|Gregory, BD|Ecker, JR|Tang, HX|Pikaard, CS","Wierzbicki, AT|Cocklin, R|Mayampurath, A|Lister, R|Rowley, MJ|Gregory, BD|Ecker, JR|Tang, HX|Pikaard, CS","Wierzbicki, Andrzej T.|Cocklin, Ross|Mayampurath, Anoop|Lister, Ryan|Rowley, M. Jordan|Gregory, Brian D.|Ecker, Joseph R.|Tang, Haixu|Pikaard, Craig S.","Wierzbicki, Andrzej T.|Cocklin, Ross|Mayampurath, Anoop|Lister, Ryan|Rowley, M. Jordan|Gregory, Brian D.|Ecker, Joseph R.|Tang, Haixu|Pikaard, Craig S."
WOS:000307949000001,"De novo transcriptome sequencing in a songbird, the dark-eyed junco (Junco hyemalis): genomic tools for an ecological model system","Peterson, MP|Whittaker, DJ|Ambreth, S|Sureshchandra, S|Buechlein, A|Podicheti, R|Choi, JH|Lai, Z|Mockatis, K|Colbourne, J|Tang, HX|Ketterson, ED","Peterson, MP|Whittaker, DJ|Ambreth, S|Sureshchandra, S|Buechlein, A|Podicheti, R|Choi, JH|Lai, Z|Mockatis, K|Colbourne, J|Tang, HX|Ketterson, ED","Peterson, Mark P.|Whittaker, Danielle J.|Ambreth, Shruthi|Sureshchandra, Suhas|Buechlein, Aaron|Podicheti, Ram|Choi, Jeong-Hyeon|Lai, Zhao|Mockatis, Keithanne|Colbourne, John|Tang, Haixu|Ketterson, Ellen D.","Peterson, Mark P.|Whittaker, Danielle J.|Ambreth, Shruthi|Sureshchandra, Suhas|Buechlein, Aaron|Podicheti, Ram|Choi, Jeong-Hyeon|Lai, Zhao|Mockatis, Keithanne|Colbourne, John|Tang, Haixu|Ketterson, Ellen D."
WOS:000305961000001,Diverse CRISPRs Evolving in Human Microbiomes,"Rho, M|Wu, YW|Tang, HX|Doak, TG|Ye, YZ","Rho, M|Wu, YW|Tang, HX|Doak, TG|Ye, YZ","Rho, Mina|Wu, Yu-Wei|Tang, Haixu|Doak, Thomas G.|Ye, Yuzhen","Rho, Mina|Wu, Yu-Wei|Tang, Haixu|Doak, Thomas G.|Ye, Yuzhen"
WOS:000305335100019,A de Bruijn Graph Approach to the Quantification of Closely-Related Genomes in a Microbial Community,"Wang, MJ|Ye, YZ|Tang, HX","Wang, MJ|Ye, YZ|Tang, HX","Wang, Mingjie|Ye, Yuzhen|Tang, Haixu","Wang, Mingjie|Ye, Yuzhen|Tang, Haixu"
WOS:000302838500021,N-Glycan Profiling by Microchip Electrophoresis to Differentiate Disease States Related to Esophageal Adenocarcinoma,"Mitra, I|Zhuang, ZX|Zhang, YN|Yu, CY|Hammoud, ZT|Tang, HX|Mechref, Y|Jacobson, SC","Mitra, I|Zhuang, ZX|Zhang, YN|Yu, CY|Hammoud, ZT|Tang, HX|Mechref, Y|Jacobson, SC","Mitra, Indranil|Zhuang, Zexi|Zhang, Yuening|Yu, Chuan-Yih|Hammoud, Zane T.|Tang, Haixu|Mechref, Yehia|Jacobson, Stephen C.","Mitra, Indranil|Zhuang, Zexi|Zhang, Yuening|Yu, Chuan-Yih|Hammoud, Zane T.|Tang, Haixu|Mechref, Yehia|Jacobson, Stephen C."
WOS:000300916200005,BuildSummary: Using a Group-Based Approach To Improve the Sensitivity of Peptide/Protein Identification in Shotgun Proteomics,"Sheng, QH|Dai, J|Wu, YB|Tang, HX|Zeng, R","Sheng, QH|Dai, J|Wu, YB|Tang, HX|Zeng, R","Sheng, Quanhu|Dai, Jie|Wu, Yibo|Tang, Haixu|Zeng, Rong","Sheng, Quanhu|Dai, Jie|Wu, Yibo|Tang, Haixu|Zeng, Rong"
WOS:000303131100005,Next-Generation Sequencing Technologies and Fragment Assembly Algorithms,"Lee, H|Tang, HX","Lee, H|Tang, HX","Lee, Heewook|Tang, Haixu","Lee, Heewook|Tang, Haixu"
WOS:000301056700003,Protein identification problem from a Bayesian point of view,"Li, YF|Arnold, RJ|Radivojac, P|Tang, HX","Li, YF|Arnold, RJ|Radivojac, P|Tang, HX","Li, Yong Fuga|Arnold, Randy J.|Radivojac, Predrag|Tang, Haixu","Li, Yong Fuga|Arnold, Randy J.|Radivojac, Predrag|Tang, Haixu"
WOS:000298383800021,RAPSearch2: a fast and memory-efficient protein similarity search tool for next-generation sequencing data,"Zhao, YA|Tang, HX|Ye, YZ","Zhao, YA|Tang, HX|Ye, YZ","Zhao, Yongan|Tang, Haixu|Ye, Yuzhen","Zhao, Yongan|Tang, Haixu|Ye, Yuzhen"
WOS:000303164900007,Bioinformatic Approaches in Glycomics and Glycoproteomics,"Mayampurath, AM|Yu, CY|Mechref, Y|Tang, HX","Mayampurath, AM|Yu, CY|Mechref, Y|Tang, HX","Mayampurath, Anoop M.|Yu, Chuan-Yih|Mechref, Yehia|Tang, Haixu","Mayampurath, Anoop M.|Yu, Chuan-Yih|Mechref, Yehia|Tang, Haixu"
WOS:000298776500002,Investigation of VUV photodissociation propensities using peptide libraries,"Liu, XH|Li, YFG|Bohrer, BC|Arnold, RJ|Radivojac, P|Tang, HX|Reilly, JP","Liu, XH|Li, YFG|Bohrer, BC|Arnold, RJ|Radivojac, P|Tang, HX|Reilly, JP","Liu, Xiaohui|Li, Yong Fuga|Bohrer, Brian C.|Arnold, Randy J.|Radivojac, Predrag|Tang, Haixu|Reilly, James P.","Liu, Xiaohui|Li, Yong Fuga|Bohrer, Brian C.|Arnold, Randy J.|Radivojac, Predrag|Tang, Haixu|Reilly, James P."
WOS:000297784800001,Enhanced peptide quantification using spectral count clustering and cluster abundance,"Lee, S|Kwon, MS|Lee, HJ|Paik, YK|Tang, HX|Lee, JK|Park, T","Lee, S|Kwon, MS|Lee, HJ|Paik, YK|Tang, HX|Lee, JK|Park, T","Lee, Seungmook|Kwon, Min-Seok|Lee, Hyoung-Joo|Paik, Young-Ki|Tang, Haixu|Lee, Jae K.|Park, Taesung","Lee, Seungmook|Kwon, Min-Seok|Lee, Hyoung-Joo|Paik, Young-Ki|Tang, Haixu|Lee, Jae K.|Park, Taesung"
WOS:000295602700037,A Novel Alignment Method and Multiple Filters for Exclusion of Unqualified Peptides To Enhance Label-Free Quantification Using Peptide Intensity in LC-MS/MS,"Lai, XY|Wang, LS|Tang, HX|Witzmann, FA","Lai, XY|Wang, LS|Tang, HX|Witzmann, FA","Lai, Xianyin|Wang, Lianshui|Tang, Haixu|Witzmann, Frank A.","Lai, Xianyin|Wang, Lianshui|Tang, Haixu|Witzmann, Frank A."
WOS:000292551600011,Improving confidence in detection and characterization of protein N-glycosylation sites and microheterogeneity,"Mayampurath, AM|Wu, Y|Segu, ZM|Mechref, Y|Tang, HX","Mayampurath, AM|Wu, Y|Segu, ZM|Mechref, Y|Tang, HX","Mayampurath, Anoop M.|Wu, Yin|Segu, Zaneer M.|Mechref, Yehia|Tang, Haixu","Mayampurath, Anoop M.|Wu, Yin|Segu, Zaneer M.|Mechref, Yehia|Tang, Haixu"
WOS:000291660100001,RAPSearch: a fast protein similarity search tool for short reads,"Ye, YZ|Choi, JH|Tang, HX","Ye, YZ|Choi, JH|Tang, HX","Ye, Yuzhen|Choi, Jeong-Hyeon|Tang, Haixu","Ye, Yuzhen|Choi, Jeong-Hyeon|Tang, Haixu"
